sim_ind	M1	M2	M3	a_o	r_p_o	e_o	inc_o	Omega_o	omega_o	e_i	inc_i	Omega_i	omega_i	f_i	final_time	outer_orbits	outer_orbits_RW	disrupted
1494	1	0.8	0.5	32.1756	3.2176	0.9	0	0	0	0.5	2.1407	4.9954	1.4254	2.6415	80085882.6	3288	39	0
1495	1	0.8	0.5	21.5234	2.1523	0.9	0	0	0	0.5	0.5212	3.8697	2.7038	1.7595	436407.5	18	0.1	1
1496	1	0.8	0.5	37.7832	3.7783	0.9	0	0	0	0.5	2.078	5.8077	1.7525	2.8478	259757560.8	6855	245	0
1497	1	0.8	0.5	36.4897	3.649	0.9	0	0	0	0.5	1.6638	4.982	4.7367	3.7099	147881594.4	1512	39.8	0
1498	1	0.8	0.5	40.9748	4.0975	0.9	0	0	0	0.5	0.9606	4.3969	4.5834	4.317	65345689.3	147	83	1
1499	1	0.8	0.5	26.7748	2.6775	0.9	0	0	0	0.5	1.3159	4.9546	3.0739	2.9818	106160.2	4	0.6	1
1500	1	0.8	0.5	40.7489	4.0749	0.9	0	0	0	0.5	2.7047	4.2186	2.4019	3.5384	82000437.9	1011	16911.4	0
1501	1	0.8	0.5	31.2445	3.1244	0.9	0	0	0	0.5	1.7315	2.1327	1.9995	4.8533	6417861.4	248	8.2	1
1502	1	0.8	0.5	38.1403	3.814	0.9	0	0	0	0.5	0.7676	0.2862	2.3566	2.8848	2331455.8	14	21.7	1
1503	1	0.8	0.5	34.8153	3.4815	0.9	0	0	0	0.5	0.9974	1.2499	5.4847	0.709	1465947.3	24	9.3	1
1504	1	0.8	0.5	35.0144	3.5014	0.9	0	0	0	0.5	1.7846	4.5964	4.2989	2.6857	96664433.5	123	35.1	1
1505	1	0.8	0.5	20.9732	2.0973	0.9	0	0	0	0.5	1.2766	6.2136	1.1535	2.6697	850303.7	75	0.2	1
1506	1	0.8	0.5	34.7658	3.4766	0.9	0	0	0	0.5	2.3483	1.9445	3.0526	3.8594	36676371.7	163	207	1
1507	1	0.8	0.5	40.9116	4.0912	0.9	0	0	0	0.5	2.4946	1.0262	3.397	3.0746	71248247.7	1780	5127.6	0
1508	1	0.8	0.5	34.1531	3.4153	0.9	0	0	0	0.5	2.2761	5.3149	4.5273	4.8381	766656277.4	3425	151.9	1
1509	1	0.8	0.5	31.9707	3.1971	0.9	0	0	0	0.5	1.0645	4.971	4.0768	3.6775	2956963.1	16	3.8	1
1510	1	0.8	0.5	42.0699	4.207	0.9	0	0	0	0.5	1.9081	3.7507	2.998	1.427	78997831.2	327	766.5	1
1511	1	0.8	0.5	30.8633	3.0863	0.9	0	0	0	0.5	2.2048	3.0094	1.4379	0.9373	24327555.4	364	33.3	1
1512	1	0.8	0.5	37.6756	3.7676	0.9	0	0	0	0.5	0.3213	3.3885	3.082	5.1627	17398077.6	56	10.1	1
1513	1	0.8	0.5	42.7772	4.2777	0.9	0	0	0	0.5	1.1843	1.1066	0.9375	2.9784	793166304.3	1181	243.3	1
1514	1	0.8	0.5	24.2379	2.4238	0.9	0	0	0	0.5	2.1105	2.4135	3.2505	4.3414	631935.7	18	2.7	1
1515	1	0.8	0.5	32.3825	3.2382	0.9	0	0	0	0.5	1.7371	4.7015	6.2576	4.9395	7901912.3	617	11.4	1
1516	1	0.8	0.5	30.4069	3.0407	0.9	0	0	0	0.5	0.7562	1.3178	0.0639	1.2824	2537079.4	2	0.9	1
1517	1	0.8	0.5	30.1594	3.0159	0.9	0	0	0	0.5	0.8304	0.544	2.6541	2.3219	2235382.7	8	1	1
1518	1	0.8	0.5	36.8196	3.682	0.9	0	0	0	0.5	2.8563	4.1173	2.3037	5.2305	238191523.1	1931	6337	0
