sim_ind	M1	M2	M3	a_o	r_p_o	e_o	inc_o	Omega_o	omega_o	e_i	inc_i	Omega_i	omega_i	f_i	final_time	outer_orbits	outer_orbits_RW	outer_orbits_RW_without_KL	disrupted
103	1	1	1	30	3	0.9	0	0	0	0.5	0	5.6884	2.1777	4.272	1815434.9	11	0.5	0.5	1
104	1	1	1	30	3	0.9	0	0	0	0.5	0	1.2342	2.9227	2.2385	238261.7	2	0.5	0.5	1
105	1	1	1	30	3	0.9	0	0	0	0.5	0	3.2865	2.7287	2.8889	544361.6	11	0.5	0.5	1
106	1	1	1	30	3	0.9	0	0	0	0.5	0	3.0629	2.8498	4.7385	36304.3	1	0.5	0.5	1
107	1	1	1	30	3	0.9	0	0	0	0.5	0	0.4674	5.3383	2.1695	552960.5	13	0.5	0.5	1
108	1	1	1	30	3	0.9	0	0	0	0.5	0	4.8689	0.4981	3.6874	59253.7	2	0.5	0.5	1
109	1	1	1	30	3	0.9	0	0	0	0.5	0	1.9966	1.4953	2.7878	55456.1	2	0.5	0.5	1
110	1	1	1	30	3	0.9	0	0	0	0.5	0	4.9275	4.6161	3.6443	34078	1	0.5	0.5	1
111	1	1	1	30	3	0.9	0	0	0	0.5	0	0.6317	2.9723	3.6448	1326375	2	0.5	0.5	1
112	1	1	1	30	3	0.9	0	0	0	0.5	0	5.8958	0.8457	3.3753	34547.6	1	0.5	0.5	1
113	1	1	1	30	3	0.9	0	0	0	0.5	0	5.3189	2.3454	3.9347	67280.3	4	0.5	0.5	1
114	1	1	1	30	3	0.9	0	0	0	0.5	0	3.0195	1.0082	4.0709	6046657.4	113	0.5	0.5	1
115	1	1	1	30	3	0.9	0	0	0	0.5	0	4.368	5.5752	2.2365	3342521.9	338	0.5	0.5	1
116	1	1	1	30	3	0.9	0	0	0	0.5	0	1.8481	0.6561	3.8526	36420.6	1	0.5	0.5	1
117	1	1	1	30	3	0.9	0	0	0	0.5	0	2.8197	0.5234	4.1007	154962	2	0.5	0.5	1
118	1	1	1	30	3	0.9	0	0	0	0.5	0	5.5698	3.7885	2.7779	430958.9	17	0.5	0.5	1
119	1	1	1	30	3	0.9	0	0	0	0.5	0	1.6459	1.938	2.6329	1506061.6	36	0.5	0.5	1
120	1	1	1	30	3	0.9	0	0	0	0.5	0	4.6482	4.6875	4.9709	161806.1	4	0.5	0.5	1
121	1	1	1	30	3	0.9	0	0	0	0.5	0	5.0838	3.4371	0.2956	35262.6	1	0.5	0.5	1
122	1	1	1	30	3	0.9	0	0	0	0.5	0	0.5233	5.2323	4.6552	34443.7	1	0.5	0.5	1
123	1	1	1	30	3	0.9	0	0	0	0.5	0	1.5967	1.5064	3.1005	819353	79	0.5	0.5	1
124	1	1	1	30	3	0.9	0	0	0	0.5	0	3.1808	5.2419	1.1555	35892.1	1	0.5	0.5	1
125	1	1	1	30	3	0.9	0	0	0	0.5	0	4.2749	1.306	3.0545	315549.3	18	0.5	0.5	1
126	1	1	1	30	3	0.9	0	0	0	0.5	0	3.8045	1.786	3.8555	37652.1	1	0.5	0.5	1
127	1	1	1	30	3	0.9	0	0	0	0.5	0	5.7657	2.3744	3.6516	801348.5	86	0.5	0.5	1
128	1	1	1	30	3	0.9	0	0	0	0.5	0	2.5929	0.2767	3.8175	33323.4	1	0.5	0.5	1
129	1	1	1	30	3	0.9	0	0	0	0.5	0	4.056	5.505	3.2473	35071.2	1	0.5	0.5	1
130	1	1	1	30	3	0.9	0	0	0	0.5	0	3.9606	4.4452	4.3616	37812.6	1	0.5	0.5	1
131	1	1	1	30	3	0.9	0	0	0	0.5	0	5.646	4.6814	3.3359	1162166.5	112	0.5	0.5	1
132	1	1	1	30	3	0.9	0	0	0	0.5	0	3.3523	1.0289	3.6103	607045.5	66	0.5	0.5	1
133	1	1	1	30	3	0.9	0	0	0	0.5	0	4.7869	1.9102	3.5653	36745.9	1	0.5	0.5	1
134	1	1	1	30	3	0.9	0	0	0	0.5	0	3.5982	3.7678	1.3481	330165.4	8	0.5	0.5	1
135	1	1	1	30	3	0.9	0	0	0	0.5	0	3.8158	5.0248	2.7505	158044.8	8	0.5	0.5	1
136	1	1	1	30	3	0.9	0	0	0	0.5	0	3.4594	6.0272	2.9423	375154.7	17	0.5	0.5	1
137	1	1	1	30	3	0.9	0	0	0	0.5	0	5.433	1.9755	0.849	375694	7	0.5	0.5	1
138	1	1	1	30	3	0.9	0	0	0	0.5	0	2.094	4.2031	3.2004	225635.1	2	0.5	0.5	1
139	1	1	1	30	3	0.9	0	0	0	0.5	0	1.5214	0.9285	2.1678	123647.2	3	0.5	0.5	1
140	1	1	1	30	3	0.9	0	0	0	0.5	0	1.3427	2.7118	0.7804	101654.9	3	0.5	0.5	1
141	1	1	1	30	3	0.9	0	0	0	0.5	0	1.8567	5.5415	4.6277	1226558.8	79	0.5	0.5	1
142	1	1	1	30	3	0.9	0	0	0	0.5	0	0.9552	5.6078	5.8952	197063.5	10	0.5	0.5	1
143	1	1	1	30	3	0.9	0	0	0	0.5	0	5.8899	2.2961	2.5239	117175.9	2	0.5	0.5	1
144	1	1	1	30	3	0.9	0	0	0	0.5	0	5.458	5.0704	3.6458	6887354	5	0.5	0.5	1
145	1	1	1	30	3	0.9	0	0	0	0.5	0	1.0009	3.1262	2.4123	39006.4	1	0.5	0.5	1
146	1	1	1	30	3	0.9	0	0	0	0.5	0	2.3461	4.5932	2.4609	433762.5	20	0.5	0.5	1
147	1	1	1	30	3	0.9	0	0	0	0.5	0	3.9113	4.0233	2.8324	814845.9	4	0.5	0.5	1
148	1	1	1	30	3	0.9	0	0	0	0.5	0	4.5194	2.2081	3.6432	8939469.3	2	0.5	0.5	1
149	1	1	1	30	3	0.9	0	0	0	0.5	0	3.0708	2.5005	2.7155	4460459.2	56	0.5	0.5	1
150	1	1	1	30	3	0.9	0	0	0	0.5	0	3.6246	0.3843	2.9929	34667.8	1	0.5	0.5	1
151	1	1	1	30	3	0.9	0	0	0	0.5	0	2.2501	0.9631	2.3574	911702.1	4	0.5	0.5	1
152	1	1	1	30	3	0.9	0	0	0	0.5	0	6.0935	5.1029	3.3669	230093.1	16	0.5	0.5	1
153	1	1	1	30	3	0.9	0	0	0	0.5	0	0.2606	1.0629	3.1775	110752.5	3	0.5	0.5	1
154	1	1	1	30	3	0.9	0	0	0	0.5	0	4.4188	0.5612	2.3113	39065.2	1	0.5	0.5	1
155	1	1	1	30	3	0.9	0	0	0	0.5	0	0.3449	1.2739	2.4778	37594.3	1	0.5	0.5	1
156	1	1	1	30	3	0.9	0	0	0	0.5	0	4.4262	3.3456	3.5348	1218387.5	166	0.5	0.5	1
157	1	1	1	30	3	0.9	0	0	0	0.5	0	5.4789	4.5349	2.1443	17434258	8	0.5	0.5	1
158	1	1	1	30	3	0.9	0	0	0	0.5	0	0.1276	0.9531	1.8423	80953	2	0.5	0.5	1
159	1	1	1	30	3	0.9	0	0	0	0.5	0	3.211	3.69	2.6268	311303.7	29	0.5	0.5	1
160	1	1	1	30	3	0.9	0	0	0	0.5	0	2.1931	1.0313	5.2278	157723.4	7	0.5	0.5	1
161	1	1	1	30	3	0.9	0	0	0	0.5	0	5.411	1.2636	3.3655	33836.5	1	0.5	0.5	1
162	1	1	1	30	3	0.9	0	0	0	0.5	0	0.3286	4.4861	2.1654	35872.9	1	0.5	0.5	1
163	1	1	1	30	3	0.9	0	0	0	0.5	0	1.6972	3.176	2.3627	37745	1	0.5	0.5	1
164	1	1	1	30	3	0.9	0	0	0	0.5	0	5.4341	5.6404	1.3743	36288	1	0.5	0.5	1
165	1	1	1	30	3	0.9	0	0	0	0.5	0	0.1747	3.7283	4.8044	496982.3	15	0.5	0.5	1
166	1	1	1	30	3	0.9	0	0	0	0.5	0	4.784	2.6055	3.2074	117768.7	2	0.5	0.5	1
167	1	1	1	30	3	0.9	0	0	0	0.5	0	1.1995	3.008	4.48	149613	3	0.5	0.5	1
168	1	1	1	30	3	0.9	0	0	0	0.5	0	3.1761	5.7343	1.4489	1265049.1	7	0.5	0.5	1
169	1	1	1	30	3	0.9	0	0	0	0.5	0	0.0914	4.444	2.9211	219598.1	3	0.5	0.5	1
170	1	1	1	30	3	0.9	0	0	0	0.5	0	5.6884	0.9394	3.5442	35281.4	1	0.5	0.5	1
171	1	1	1	30	3	0.9	0	0	0	0.5	0	5.1713	2.1823	4.8738	14140443.6	67	0.5	0.5	1
172	1	1	1	30	3	0.9	0	0	0	0.5	0	5.1219	2.4026	3.7055	201580.6	13	0.5	0.5	1
173	1	1	1	30	3	0.9	0	0	0	0.5	0	5.1319	3.2588	3.7199	53601.6	2	0.5	0.5	1
174	1	1	1	30	3	0.9	0	0	0	0.5	0	1.1865	3.8923	2.3328	68454183.5	4	0.5	0.5	1
175	1	1	1	30	3	0.9	0	0	0	0.5	0	4.776	2.3449	3.0138	34638.4	1	0.5	0.5	1
176	1	1	1	30	3	0.9	0	0	0	0.5	0	0.2493	2.3512	1.6405	294385.7	18	0.5	0.5	1
177	1	1	1	30	3	0.9	0	0	0	0.5	0	2.402	0.5413	0.7203	279054.6	18	0.5	0.5	1
178	1	1	1	30	3	0.9	0	0	0	0.5	0	5.3143	4.4514	3.8576	257094.7	4	0.5	0.5	1
179	1	1	1	30	3	0.9	0	0	0	0.5	0	0.7946	4.3974	2.8811	596516.5	4	0.5	0.5	1
180	1	1	1	30	3	0.9	0	0	0	0.5	0	4.7725	4.683	2.0219	615259	53	0.5	0.5	1
181	1	1	1	30	3	0.9	0	0	0	0.5	0	4.8019	1.1134	1.0229	189699.2	3	0.5	0.5	1
182	1	1	1	30	3	0.9	0	0	0	0.5	0	2.8499	0.8817	1.6218	217406.3	15	0.5	0.5	1
183	1	1	1	30	3	0.9	0	0	0	0.5	0	2.7502	2.9958	0.6784	211947.9	2	0.5	0.5	1
184	1	1	1	30	3	0.9	0	0	0	0.5	0	1.5644	4.6926	3.104	478228.9	16	0.5	0.5	1
185	1	1	1	30	3	0.9	0	0	0	0.5	0	0.7481	4.5704	3.4906	960998.5	54	0.5	0.5	1
186	1	1	1	30	3	0.9	0	0	0	0.5	0	6.2213	1.978	2.6983	97148.9	3	0.5	0.5	1
187	1	1	1	30	3	0.9	0	0	0	0.5	0	4.3544	3.3042	2.5461	35799.7	1	0.5	0.5	1
188	1	1	1	30	3	0.9	0	0	0	0.5	0	3.8066	2.5787	3.3923	33464	1	0.5	0.5	1
189	1	1	1	30	3	0.9	0	0	0	0.5	0	2.5399	6.1959	3.0905	134864.9	9	0.5	0.5	1
190	1	1	1	30	3	0.9	0	0	0	0.5	0	4.0552	1.8763	3.867	33359.9	1	0.5	0.5	1
191	1	1	1	30	3	0.9	0	0	0	0.5	0	5.6448	6.1416	4.7582	34071.6	1	0.5	0.5	1
192	1	1	1	30	3	0.9	0	0	0	0.5	0	2.7615	4.9394	1.4397	1903118.7	9	0.5	0.5	1
193	1	1	1	30	3	0.9	0	0	0	0.5	0	4.1955	5.1263	4.4599	2798671.4	4	0.5	0.5	1
194	1	1	1	30	3	0.9	0	0	0	0.5	0	3.8062	4.7806	2.8167	395714.6	15	0.5	0.5	1
195	1	1	1	30	3	0.9	0	0	0	0.5	0	3.4743	1.5149	2.815	83995.4	4	0.5	0.5	1
196	1	1	1	30	3	0.9	0	0	0	0.5	0	3.7527	3.8045	4.5311	93643.7	3	0.5	0.5	1
197	1	1	1	30	3	0.9	0	0	0	0.5	0	3.1486	1.4188	2.5702	36282	1	0.5	0.5	1
198	1	1	1	30	3	0.9	0	0	0	0.5	0	4.3381	2.5749	3.3593	36737.2	1	0.5	0.5	1
199	1	1	1	30	3	0.9	0	0	0	0.5	0	3.4618	0.7324	3.6462	653362.8	5	0.5	0.5	1
200	1	1	1	30	3	0.9	0	0	0	0.5	0	3.2795	4.714	3.6122	89920.2	3	0.5	0.5	1
201	1	1	1	30	3	0.9	0	0	0	0.5	0	4.1674	3.1148	3.1465	12897435.9	7	0.5	0.5	1
202	1	1	1	30	3	0.9	0	0	0	0.5	0	1.3823	1.2102	2.0945	683219.9	20	0.5	0.5	1
203	1	1	1	30	3	0.9	0	0	0	0.5	0	2.3375	1.9768	2.9792	38905	1	0.5	0.5	1
204	1	1	1	30	3	0.9	0	0	0	0.5	0	6.2823	5.261	3.3297	299336.6	18	0.5	0.5	1
205	1	1	1	30	3	0.9	0	0	0	0.5	0	1.9601	0.1637	2.39	247777.2	8	0.5	0.5	1
206	1	1	1	30	3	0.9	0	0	0	0.5	0	4.5899	2.6016	2.0111	280541.4	10	0.5	0.5	1
207	1	1	1	30	3	0.9	0	0	0	0.5	0	4.8393	5.752	3.0673	2096740.8	27	0.5	0.5	1
208	1	1	1	30	3	0.9	0	0	0	0.5	0	4.5745	3.5985	0.5597	35498.5	1	0.5	0.5	1
209	1	1	1	30	3	0.9	0	0	0	0.5	0	2.354	6.1627	2.3944	1004362.1	3	0.5	0.5	1
210	1	1	1	30	3	0.9	0	0	0	0.5	0	3.286	1.3476	5.6217	303037.4	10	0.5	0.5	1
211	1	1	1	30	3	0.9	0	0	0	0.5	0	1.9453	2.4462	2.7196	35812.7	1	0.5	0.5	1
212	1	1	1	30	3	0.9	0	0	0	0.5	0	4.634	5.7174	1.4007	11635538795.6	39	0.5	0.5	1
213	1	1	1	30	3	0.9	0	0	0	0.5	0	1.4517	4.3772	1.5338	466732.6	13	0.5	0.5	1
214	1	1	1	30	3	0.9	0	0	0	0.5	0	4.006	4.6443	5.1172	34211	1	0.5	0.5	1
215	1	1	1	30	3	0.9	0	0	0	0.5	0	4.7625	6.2785	1.7273	35705.1	1	0.5	0.5	1
216	1	1	1	30	3	0.9	0	0	0	0.5	0	3.2603	3.2312	3.9316	1769193	3	0.5	0.5	1
217	1	1	1	30	3	0.9	0	0	0	0.5	0	2.0816	6.2324	3.4176	352617.2	15	0.5	0.5	1
218	1	1	1	30	3	0.9	0	0	0	0.5	0	5.2604	2.7385	3.6649	96334.4	3	0.5	0.5	1
219	1	1	1	30	3	0.9	0	0	0	0.5	0	1.4392	4.6319	3.363	323147.6	5	0.5	0.5	1
220	1	1	1	30	3	0.9	0	0	0	0.5	0	5.3181	5.5416	2.2874	35485	1	0.5	0.5	1
221	1	1	1	30	3	0.9	0	0	0	0.5	0	2.8176	2.7444	1.0848	2554093.7	2	0.5	0.5	1
222	1	1	1	30	3	0.9	0	0	0	0.5	0	5.5351	2.3646	2.7614	145641	2	0.5	0.5	1
223	1	1	1	30	3	0.9	0	0	0	0.5	0	5.2697	1.726	6.0766	832087.3	37	0.5	0.5	1
224	1	1	1	30	3	0.9	0	0	0	0.5	0	4.3257	2.8298	4.0699	190599	17	0.5	0.5	1
225	1	1	1	30	3	0.9	0	0	0	0.5	0	0.8702	3.5003	3.1148	197505.4	8	0.5	0.5	1
226	1	1	1	30	3	0.9	0	0	0	0.5	0	1.755	3.0491	3.3425	235792.4	15	0.5	0.5	1
227	1	1	1	30	3	0.9	0	0	0	0.5	0	4.2838	0.0564	2.9577	38922.6	1	0.5	0.5	1
